time,value,regime,cp_prob,detected_75
0,0.4967141530112327,1,0.0,0
1,-0.13826430117118466,1,0.0,0
2,0.6476885381006925,1,0.0,0
3,1.5230298564080254,1,0.0,0
4,-0.23415337472333597,1,0.0,0
5,-0.23413695694918055,1,0.0,0
6,1.5792128155073915,1,0.0,0
7,0.7674347291529088,1,0.0,0
8,-0.4694743859349521,1,0.0,0
9,0.5425600435859647,1,0.0,0
10,-0.46341769281246226,1,0.0,0
11,-0.46572975357025687,1,0.0,0
12,0.24196227156603412,1,0.0,0
13,-1.913280244657798,1,0.0,0
14,-1.7249178325130328,1,0.0,0
15,-0.5622875292409727,1,0.0,0
16,-1.0128311203344238,1,0.0,0
17,0.3142473325952739,1,0.0,0
18,-0.9080240755212109,1,0.0,0
19,-1.4123037013352915,1,0.0,0
20,1.465648768921554,1,0.0,0
21,-0.22577630048653566,1,0.0,0
22,0.06752820468792384,1,0.0,0
23,-1.4247481862134568,1,0.0,0
24,-0.5443827245251827,1,0.0,0
25,0.11092258970986608,1,0.0,0
26,-1.1509935774223028,1,0.0,0
27,0.37569801834567196,1,0.0,0
28,-0.600638689918805,1,0.0,0
29,-0.2916937497932768,1,0.0,0
30,-0.6017066122293969,1,0.5,0
31,1.8522781845089378,1,0.48793461642666125,0
32,-0.013497224737933921,1,0.4850302076168819,0
33,-1.0577109289559004,1,0.5204103903141352,0
34,0.822544912103189,1,0.4359596134557893,0
35,-1.2208436499710222,1,0.5558620590170359,0
36,0.2088635950047554,1,0.4664151062030954,0
37,-1.9596701238797756,1,0.613824500070702,0
38,-1.3281860488984305,1,0.6062924852762008,0
39,0.19686123586912352,1,0.4495266922529429,0
40,0.7384665799954104,1,0.36779068574551255,0
41,0.1713682811899705,1,0.44532824498617685,0
42,-0.11564828238824053,1,0.47245371750064974,0
43,-0.3011036955892888,1,0.4885951985853021,0
44,-1.4785219903674274,1,0.5967789458942578,0
45,-0.7198442083947086,1,0.5419280393471769,0
46,-0.4606387709597875,1,0.5224995001669915,0
47,1.0571222262189157,1,0.42036968945525993,0
48,0.3436182895684614,1,0.46846011766646645,0
49,-1.763040155362734,1,0.5511362355258331,0
50,0.324083969394795,1,0.48456444886165373,0
51,-0.38508228041631654,1,0.5275661361685909,0
52,-0.6769220003059587,1,0.5341468885769421,0
53,0.6116762888408679,1,0.44116235513394264,0
54,1.030999522495951,1,0.44177868796760944,0
55,0.9312801191161986,1,0.47976887453275097,0
56,-0.8392175232226385,1,0.499695225680623,0
57,-0.3092123758512146,1,0.49615836195491464,0
58,0.33126343140356396,1,0.49144239402777173,0
59,0.9755451271223592,1,0.5066642481399845,0
60,-0.47917423784528995,1,0.4764472118349023,0
61,-0.18565897666381712,1,0.47757878232373846,0
62,-1.1063349740060282,1,0.5079102855520168,0
63,-1.1962066240806708,1,0.5214278090017652,0
64,0.812525822394198,1,0.4708070042395507,0
65,1.356240028570823,1,0.4370601044039388,0
66,-0.07201012158033385,1,0.501784077218146,0
67,1.0035328978920242,1,0.4965152609316876,0
68,0.36163602504763415,1,0.5417660382318668,0
69,-0.6451197546051243,1,0.4681991812129534,0
70,0.36139560550841393,1,0.5572824636066928,0
71,1.5380365664659692,1,0.5083318026626584,0
72,-0.03582603910995154,1,0.5187191640522908,0
73,1.5646436558140062,1,0.581287750464762,0
74,-2.6197451040897444,1,0.38494145769908705,0
75,0.8219025043752238,1,0.5568119472498804,0
76,0.08704706823817122,1,0.48359107653553507,0
77,-0.29900735046586746,1,0.44242722973703064,0
78,0.0917607765355023,1,0.487565488154282,0
79,-1.9875689146008928,1,0.43182757973566105,0
80,-0.21967188783751193,1,0.460863286039013,0
81,0.3571125715117464,1,0.5095373915615248,0
82,1.477894044741516,1,0.6595470791757717,0
83,-0.5182702182736474,1,0.4133746965933746,0
84,-0.8084936028931876,1,0.40569014881186527,0
85,-0.5017570435845365,1,0.43620507581821366,0
86,0.9154021177020741,1,0.5431860312670279,0
87,0.32875110965968446,1,0.49544244658298925,0
88,-0.5297602037670388,1,0.42877329190973656,0
89,0.5132674331133561,1,0.5082993804574091,0
90,0.09707754934804039,1,0.47125471982079514,0
91,0.9686449905328892,1,0.5651619007889147,0
92,-0.7020530938773524,1,0.41805462400120885,0
93,-0.3276621465977682,1,0.43391208279631965,0
94,-0.39210815313215763,1,0.42940256393638465,0
95,-1.4635149481321186,1,0.3989745891227263,0
96,0.29612027706457605,1,0.49228222553636736,0
97,0.26105527217988933,1,0.488244745373508,0
98,0.00511345664246089,1,0.47784541381766293,0
99,-0.23458713337514692,1,0.4689666279923223,0
100,-1.4153707420504142,1,0.4662923669157854,0
101,-0.42064532276535904,1,0.46019005782366534,0
102,-0.3427145165267695,1,0.48966979368557845,0
103,-0.8022772692216189,1,0.5049764589118778,0
104,-0.16128571166600914,1,0.5092248020935304,0
105,0.4040508568145384,1,0.5294218038492118,0
106,1.8861859012105302,1,0.13649762636250828,0
107,0.17457781283183896,1,0.5371994735219007,0
108,0.25755039072276437,1,0.5340606114746516,0
109,-0.07444591576616721,1,0.5396730569351013,0
110,-1.9187712152990415,1,0.1773032052802976,0
111,-0.026513875449216878,1,0.5484487271943224,0
112,0.06023020994102644,1,0.5471525436966628,0
113,2.463242112485286,1,0.12622534066744653,0
114,-0.19236096478112252,1,0.5114174860805931,0
115,0.30154734233361247,1,0.5281612787949297,0
116,-0.03471176970524331,1,0.5191136350193716,0
117,-1.168678037619532,1,0.4434425283716723,0
118,1.1428228145150205,1,0.4903623843724428,0
119,0.7519330326867741,1,0.5228092590851936,0
120,0.7910319470430469,1,0.5230709511551052,0
121,-0.9093874547947389,1,0.4554689309460856,0
122,1.4027943109360992,1,0.5190623565532618,0
123,-1.4018510627922809,1,0.4549520120189994,0
124,0.5868570938002703,1,0.49604962894753996,0
125,2.1904556258099785,1,0.738825278765819,0
126,-0.9905363251306883,1,0.4024187744258817,0
127,-0.5662977296027719,1,0.41866652240573293,0
128,0.09965136508764122,1,0.4484616358846486,0
129,-0.5034756541161992,1,0.42110907877488624,0
130,-1.5506634310661327,1,0.4884033475068042,0
131,0.06856297480602733,1,0.44160457123523106,0
132,-1.0623037137261049,1,0.4257469338617296,0
133,0.4735924306351816,1,0.47393680294889795,0
134,-0.9194242342338032,1,0.4088993537214801,0
135,1.5499344050175394,1,0.6955395394160135,0
136,-0.7832532923362371,1,0.39660403903504576,0
137,-0.3220615162056756,1,0.423267751495006,0
138,0.8135172173696698,1,0.5058038362166019,0
139,-1.2308643164339552,1,0.47261989638674845,0
140,0.22745993460412942,1,0.4273848490875055,0
141,1.307142754282428,1,0.6176723533291303,0
142,-1.6074832345612275,1,0.4780623931015814,0
143,0.1846338585323042,1,0.42742700873067996,0
144,0.25988279424842353,1,0.4664884361526949,0
145,0.7818228717773104,1,0.5028643391108931,0
146,-1.236950710878082,1,0.47889114828610774,0
147,-1.3204566130842763,1,0.5091248901819868,0
148,0.5219415656168976,1,0.4654048958537106,0
149,0.29698467323318606,1,0.4530034941873403,0
150,0.25049285034587654,1,0.4512705736453187,0
151,0.3464482094969757,1,0.4528013632155483,0
152,-0.6800247215784908,1,0.46712474357771055,0
153,0.23225369716100355,1,0.46272682571469187,0
154,0.29307247329868125,1,0.4839150385896035,0
155,-0.7143514180263678,1,0.49518271985095536,0
156,1.8657745111447566,1,0.26742004534396646,0
157,0.4738329209117875,1,0.49285034806726497,0
158,-1.1913034972026486,1,0.48748155282728284,0
159,0.6565536086338297,1,0.47885349530357196,0
160,-0.9746816702273214,1,0.49239140506229845,0
161,0.787084603742452,1,0.5069211714553866,0
162,1.158595579007404,1,0.5231993413991476,0
163,-0.8206823183517105,1,0.4424816068531409,0
164,0.9633761292443218,1,0.5334103996974502,0
165,0.4127809269364983,1,0.5218851129648564,0
166,0.82206015999449,1,0.5391229788328773,0
